latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
37.451,-119.171,311.7,1.4,1.2,2020-10-20,0935,A,53,6.0NRT,286.1,19.9,N
37.449,-119.153,330.7,1.4,1.2,2020-10-20,0935,A,100,6.0NRT,289.2,51.1,N
37.446,-119.119,325.5,1.4,1.2,2020-10-20,0935,A,100,6.0NRT,289,40.3,N
37.444,-119.103,337.6,1.4,1.2,2020-10-20,0935,A,100,6.0NRT,288.6,67.3,N
37.439,-119.155,343.6,1.4,1.2,2020-10-20,0935,A,100,6.0NRT,288.2,84.6,N
37.437,-119.138,360.5,1.4,1.2,2020-10-20,0935,A,100,6.0NRT,293.8,146.7,N
37.435,-119.122,347.4,1.4,1.2,2020-10-20,0935,A,100,6.0NRT,292.2,95.6,N
37.434,-119.105,337,1.4,1.2,2020-10-20,0935,A,100,6.0NRT,289.1,66.2,N
37.421,-119.09,310.9,1.4,1.2,2020-10-20,0935,A,81,6.0NRT,282.8,21.2,N
37.392,-119.114,302.6,1.4,1.2,2020-10-20,0935,A,43,6.0NRT,282.8,12.5,N
37.39,-119.097,318.1,1.4,1.2,2020-10-20,0935,A,96,6.0NRT,284.4,31.1,N
37.388,-119.081,308,1.4,1.2,2020-10-20,0935,A,31,6.0NRT,283.2,16.5,N
37.383,-119.033,324.4,1.4,1.2,2020-10-20,0935,A,80,6.0NRT,285.9,39.3,N
37.382,-119.018,321.5,1.4,1.2,2020-10-20,0935,A,64,6.0NRT,282.5,34.3,N
37.373,-119.036,307.3,1.4,1.2,2020-10-20,0935,A,22,6.0NRT,282.5,15.9,N
36.355,-118.435,300.4,1.3,1.1,2020-10-20,0935,A,26,6.0NRT,279.8,11,N
36.354,-118.423,307.3,1.3,1.1,2020-10-20,0935,A,71,6.0NRT,280.8,16.4,N
33.19,-81.66,305.1,2.3,1.5,2020-10-20,1545,T,41,6.0NRT,286.4,22,D
32.644,-85.51,309.4,4.1,1.9,2020-10-20,1545,T,69,6.0NRT,290.5,60.5,D
32.64,-85.518,309.8,4.1,1.9,2020-10-20,1545,T,69,6.0NRT,290.7,59.6,D
32.166,-85.074,311.3,3.8,1.8,2020-10-20,1545,T,54,6.0NRT,292,58.6,D
31.736,-84.582,345.3,3.5,1.8,2020-10-20,1545,T,94,6.0NRT,295,298.3,D
31.734,-84.545,326.6,3.5,1.8,2020-10-20,1545,T,84,6.0NRT,294.2,122.5,D
31.74,-84.55,325.9,3.5,1.8,2020-10-20,1545,T,84,6.0NRT,294.3,119,D
31.727,-84.588,312.2,3.5,1.8,2020-10-20,1545,T,72,6.0NRT,294.6,45,D
31.724,-84.552,313.5,3.5,1.8,2020-10-20,1545,T,73,6.0NRT,294.2,50.6,D
31.492,-85.285,307,3.9,1.8,2020-10-20,1545,T,62,6.0NRT,292,30.5,D
31.487,-85.293,307.1,3.9,1.8,2020-10-20,1545,T,61,6.0NRT,292.1,32.3,D
30.455,-85.608,310,4,1.9,2020-10-20,1545,T,65,6.0NRT,293.9,37.3,D
30.258,-85.038,313.9,3.6,1.8,2020-10-20,1545,T,72,6.0NRT,293.6,56.2,D
30.266,-85.045,313.4,3.6,1.8,2020-10-20,1545,T,58,6.0NRT,293.2,53.3,D
30.263,-85.007,314,3.6,1.8,2020-10-20,1545,T,60,6.0NRT,293.4,57.7,D
30.065,-85.338,318.7,3.8,1.8,2020-10-20,1545,T,70,6.0NRT,293.7,81.4,D
30.058,-85.346,313,3.8,1.8,2020-10-20,1545,T,53,6.0NRT,293.6,49.6,D
18.929,-70.346,312.4,2.3,1.5,2020-10-20,1550,T,67,6.0NRT,296.3,18.2,D
18.476,-68.753,315,4,1.9,2020-10-20,1715,A,63,6.0NRT,296.8,57.5,D
18.482,-68.762,314.9,4,1.9,2020-10-20,1715,A,62,6.0NRT,297,53.1,D
34.021,-88.442,309.5,3,1.6,2020-10-20,1725,T,52,6.0NRT,293.8,30.2,D
36.235,-105.334,318.1,2.2,1.4,2020-10-20,1725,T,41,6.0NRT,292,40.2,D
33.615,-89.338,326.9,2.7,1.6,2020-10-20,1725,T,83,6.0NRT,294.7,93.6,D
33.609,-89.311,307.5,2.7,1.6,2020-10-20,1725,T,53,6.0NRT,294,20.6,D
33.464,-89.15,309.8,2.8,1.6,2020-10-20,1725,T,60,6.0NRT,294,30.1,D
33.458,-89.121,309.7,2.8,1.6,2020-10-20,1725,T,60,6.0NRT,294,30.6,D
33.455,-89.129,310.7,2.8,1.6,2020-10-20,1725,T,62,6.0NRT,293.8,31.1,D
33.858,-91.738,310.9,1.9,1.3,2020-10-20,1725,T,63,6.0NRT,293.5,16,D
33.854,-91.719,310.3,1.9,1.3,2020-10-20,1725,T,58,6.0NRT,294.8,15,D
33.199,-89.285,321.2,2.8,1.6,2020-10-20,1725,T,78,6.0NRT,294.9,70.8,D
33.192,-89.257,320.3,2.8,1.6,2020-10-20,1725,T,77,6.0NRT,294.5,67.5,D
33.195,-89.291,317,2.8,1.6,2020-10-20,1725,T,73,6.0NRT,294.6,54.8,D
33.189,-89.263,327,2.8,1.6,2020-10-20,1725,T,83,6.0NRT,294.8,100.8,D
33.014,-89.233,323,2.8,1.6,2020-10-20,1725,T,79,6.0NRT,295.5,81.1,D
33.012,-89.239,323.8,2.8,1.6,2020-10-20,1725,T,80,6.0NRT,295.3,80.7,D
33.436,-91.441,312.1,2,1.4,2020-10-20,1725,T,61,6.0NRT,295.2,18.4,D
34.063,-96.4,326,1.1,1,2020-10-20,1725,T,81,6.0NRT,294.7,22.7,D
34.061,-96.389,336.3,1.1,1,2020-10-20,1725,T,89,6.0NRT,295.5,37.5,D
32.268,-87.896,306.2,3.6,1.8,2020-10-20,1725,T,35,6.0NRT,289.5,26.5,D
32.419,-89.369,311.6,2.9,1.6,2020-10-20,1725,T,65,6.0NRT,296.5,32.9,D
33.458,-94.6,338,1.3,1.1,2020-10-20,1725,T,89,6.0NRT,299.2,49.7,D
32.405,-89.373,337.2,2.9,1.6,2020-10-20,1725,T,89,6.0NRT,296.5,161.9,D
31.815,-87.183,307.5,4.1,1.9,2020-10-20,1725,T,56,6.0NRT,289.1,45,D
32.783,-91.695,331.6,2,1.4,2020-10-20,1725,T,86,6.0NRT,298.2,66.9,D
32.78,-91.701,327.3,2,1.4,2020-10-20,1725,T,83,6.0NRT,298.1,52,D
31.608,-86.938,309.1,4.3,1.9,2020-10-20,1725,T,61,6.0NRT,290.7,54.9,D
31.606,-86.945,313.2,4.3,1.9,2020-10-20,1725,T,68,6.0NRT,290.8,80.1,D
31.462,-86.507,305.2,4.6,2,2020-10-20,1725,T,38,6.0NRT,290.2,40.2,D
33.535,-97.093,310.5,1,1,2020-10-20,1725,T,35,6.0NRT,297.1,4.4,D
32.061,-89.934,307.2,2.7,1.6,2020-10-20,1725,T,51,6.0NRT,294.2,20.3,D
32.47,-93.166,355.2,1.6,1.3,2020-10-20,1725,T,98,6.0NRT,298.1,142.8,D
32.467,-93.149,317.7,1.6,1.3,2020-10-20,1725,T,73,6.0NRT,295.3,24.3,D
32.507,-94.484,324.5,1.4,1.2,2020-10-20,1725,T,80,6.0NRT,295.7,28.3,D
32.505,-94.47,315.5,1.4,1.2,2020-10-20,1725,T,69,6.0NRT,296,15,D
32.172,-93.247,309.8,1.6,1.3,2020-10-20,1725,T,58,6.0NRT,294.7,12,D
32.344,-94.783,308.7,1.3,1.1,2020-10-20,1725,T,48,6.0NRT,296.4,6.1,D
30.923,-88.695,307.2,3.4,1.7,2020-10-20,1725,T,48,6.0NRT,291.7,22.3,D
32.25,-99.824,325.9,1,1,2020-10-20,1725,T,79,6.0NRT,297.7,18.9,D
30.839,-91.649,312.9,2.2,1.4,2020-10-20,1725,T,50,6.0NRT,295,17.6,D
30.834,-91.627,317.7,2.2,1.4,2020-10-20,1725,T,56,6.0NRT,295.3,30.9,D
30.763,-92.466,307.4,2,1.4,2020-10-20,1725,T,35,6.0NRT,283,13,D
30.755,-92.489,308.3,1.9,1.4,2020-10-20,1725,T,44,6.0NRT,284.6,15.2,D
30.751,-92.469,310.7,2,1.4,2020-10-20,1725,T,51,6.0NRT,287.9,19.8,D
30.812,-93.089,314.9,1.8,1.3,2020-10-20,1725,T,68,6.0NRT,294.6,18.5,D
30.808,-93.071,338.9,1.8,1.3,2020-10-20,1725,T,90,6.0NRT,295.1,85.1,D
30.847,-93.254,311.3,1.7,1.3,2020-10-20,1725,T,62,6.0NRT,293.9,12.5,D
30.813,-93.075,323.9,1.8,1.3,2020-10-20,1725,T,80,6.0NRT,294.8,37.7,D
30.801,-93.078,323.8,1.8,1.3,2020-10-20,1725,T,80,6.0NRT,295,37.4,D
30.243,-91.209,315.6,2.4,1.5,2020-10-20,1725,T,71,6.0NRT,295.9,27.9,D
30.112,-91.095,316,2.5,1.5,2020-10-20,1725,T,71,6.0NRT,296.1,32.1,D
30.91,-95.428,319.5,1.3,1.1,2020-10-20,1725,T,68,6.0NRT,302.6,12.8,D
29.904,-91.059,310.2,2.5,1.5,2020-10-20,1725,T,42,6.0NRT,294.1,17.7,D
29.104,-97.575,320.5,1.1,1,2020-10-20,1725,T,64,6.0NRT,301.2,9.8,D
29.096,-97.571,321.7,1.1,1,2020-10-20,1725,T,70,6.0NRT,301.6,10.7,D
28.89,-96.853,320.5,1.2,1.1,2020-10-20,1725,T,68,6.0NRT,299.5,13.3,D
28.888,-96.859,321.9,1.2,1.1,2020-10-20,1725,T,70,6.0NRT,299.6,15.4,D
28.886,-96.848,327.4,1.2,1.1,2020-10-20,1725,T,78,6.0NRT,299.9,23.1,D
29.048,-98.494,319,1,1,2020-10-20,1725,T,52,6.0NRT,297,10.2,D
28.79,-99.721,341.2,1,1,2020-10-20,1725,T,90,6.0NRT,303,35,D
28.789,-99.711,321.7,1,1,2020-10-20,1725,T,64,6.0NRT,301.1,9.5,D
26.247,-97.864,320.8,1.1,1.1,2020-10-20,1725,T,55,6.0NRT,302.8,8.2,D
25.099,-99.602,315.3,1,1,2020-10-20,1725,T,50,6.0NRT,299.5,5.7,D
24.2,-99.457,315.3,1,1,2020-10-20,1725,T,55,6.0NRT,297.9,7.7,D
23.769,-106.612,317.6,1.8,1.3,2020-10-20,1725,T,58,6.0NRT,299.9,19.5,D
21.866,-98.342,324.3,1.2,1.1,2020-10-20,1725,T,78,6.0NRT,298.2,20.4,D
21.819,-99.008,315.2,1.1,1.1,2020-10-20,1725,T,64,6.0NRT,298.6,7.1,D
22.093,-102.089,320.9,1,1,2020-10-20,1725,T,60,6.0NRT,306.4,6.7,D
20.837,-99.866,317.6,1.1,1,2020-10-20,1725,T,60,6.0NRT,304.2,6.7,D
20.832,-100.425,319.3,1,1,2020-10-20,1725,T,41,6.0NRT,304.9,5.3,D
20.712,-99.78,320.7,1.1,1,2020-10-20,1725,T,72,6.0NRT,307.6,8.5,D
20.52,-99.795,320.8,1.1,1,2020-10-20,1725,T,41,6.0NRT,306.3,8.6,D
20.569,-100.518,315.5,1,1,2020-10-20,1725,T,32,6.0NRT,303.6,4.3,D
20.613,-101.234,318.8,1,1,2020-10-20,1725,T,57,6.0NRT,305.6,7.1,D
20.724,-103.485,313,1.1,1,2020-10-20,1725,T,39,6.0NRT,298.2,5.3,D
20.508,-102.405,321.5,1,1,2020-10-20,1725,T,72,6.0NRT,305.2,9.4,D
19.511,-96.35,317.1,1.8,1.3,2020-10-20,1725,T,44,6.0NRT,300.1,18.5,D
20.451,-103.045,313.2,1,1,2020-10-20,1725,T,48,6.0NRT,299.2,6.3,D
19.615,-99.216,315.1,1.2,1.1,2020-10-20,1725,T,33,6.0NRT,296.3,5.5,D
19.559,-99.054,315.5,1.2,1.1,2020-10-20,1725,T,55,6.0NRT,298.3,6.5,D
19.495,-99.164,318.6,1.2,1.1,2020-10-20,1725,T,69,6.0NRT,300,8.4,D
19.742,-101.825,310.5,1,1,2020-10-20,1725,T,45,6.0NRT,298.9,5.9,D
19.385,-99.567,313.6,1.1,1.1,2020-10-20,1725,T,29,6.0NRT,299.4,7.5,D
19.654,-101.913,308.9,1,1,2020-10-20,1725,T,39,6.0NRT,295.6,5.7,D
19.289,-99.546,316.8,1.1,1.1,2020-10-20,1725,T,46,6.0NRT,299.6,8,D
19.646,-102.048,313.3,1,1,2020-10-20,1725,T,36,6.0NRT,301,6.9,D
19.545,-102.052,308.9,1,1,2020-10-20,1725,T,50,6.0NRT,296.5,4.8,D
19.64,-103.367,312.2,1.1,1,2020-10-20,1725,T,56,6.0NRT,299.4,4.7,D
17.905,-93.18,320.9,3.3,1.7,2020-10-20,1725,T,78,6.0NRT,287.6,81.8,D
17.909,-93.186,308.7,3.3,1.7,2020-10-20,1725,T,51,6.0NRT,287.5,26,D
19.419,-102.132,310.4,1,1,2020-10-20,1725,T,55,6.0NRT,297.1,5.7,D
17.894,-93.189,328.4,3.3,1.7,2020-10-20,1725,T,84,6.0NRT,288.8,129.7,D
17.888,-93.158,312.6,3.4,1.7,2020-10-20,1725,T,38,6.0NRT,286.9,37.1,D
17.852,-93.134,311.4,3.4,1.7,2020-10-20,1725,T,56,6.0NRT,288.2,37,D
17.845,-93.103,315.4,3.4,1.7,2020-10-20,1725,T,72,6.0NRT,286.7,56.8,D
17.835,-93.111,323.6,3.4,1.7,2020-10-20,1725,T,81,6.0NRT,286.6,102.1,D
19.157,-102.049,315.6,1,1,2020-10-20,1725,T,19,6.0NRT,300.8,5.9,D
