aes,wmo,REP_DATE,temp,td,rh,ws,wg,wdir,pres,vis,precip,rndays,sog,ffmc,dmc,dc,bui,isi,fwi,dsr,opts,calcstatus,Station,Distance,name,lon,lat,elev,ACQ_DATE,ATTK_DATE,CAUSE,CFS_ECOZ,CFS_NOTE1,CFS_NOTE2,CFS_REF_ID,DECADE,ECODISTRIC,ECOREGION,ECOZONE,FIRENAME,FIRE_ID,FIRE_TYPE,LATITUDE,LONGITUDE,MORE_INFO,OUT_DATE,PROTZONE,SIZE_HA,SRC_AGENCY,SRC_AGY2,fire_label,Month,Year
2201579,71497,5/30/19,14.9,5.1,52,5.9,14.5,275,1020,34.8,0.2,0,0,89.6,97.7,459.1,127.6,5.4,23,7,                          M=1:          ,1,CWJL,49.22526378,FORT+LIARD,-123.467,60.233,213,5/5/20,,L,4, , ,BC-2019-2019-G90421,2010-2019,248,65,4, ,2019-G90421,Fire,59.5408,-123.7908, ,, ,0.03,BC,BC,1,5,2019
1163842,71741,5/30/19,28,5.7,24,5.9,9,214,1011.2,19.2,0,4,0,93.7,73.4,323.2,93.6,9.7,29.9,11.1,                          M=1:          ,1,CZKA,14.31709866,KAMLOOPS+AUT,-120.45,50.7,345,5/5/20,,L,14, , ,BC-2019-2019-K20409,2010-2019,1005,209,14, ,2019-K20409,Fire,50.8007,-120.7353, ,, ,1,BC,BC,1,5,2019
1163842,71741,5/30/19,28,5.7,24,5.9,9,214,1011.2,19.2,0,4,0,93.7,73.4,323.2,93.6,9.7,29.9,11.1,                          M=1:          ,1,CZKA,19.64787064,KAMLOOPS+AUT,-120.45,50.7,345,5/5/20,,L,14, , ,BC-2019-2019-K20412,2010-2019,1004,209,14, ,2019-K20412,Fire,50.8575,-120.8232, ,, ,0.06,BC,BC,1,5,2019
1148705,71401,5/30/19,27,7.6,29,3.4,7.9,172,1012.8,23.1,0,4,0,93.5,34.4,185.9,47,8.3,18.8,4.9,                          M=1:          ,1,CXWF,19.99381118,WARFIELD+RCS,-117.733,49.117,567,5/5/20,,L,14, , ,BC-2019-2019-N50413,2010-2019,1012,212,14, ,2019-N50413,Fire,49.1661,-117.2984, ,, ,0.009,BC,BC,1,5,2019
1163842,71741,5/30/19,28,5.7,24,5.9,9,214,1011.2,19.2,0,4,0,93.7,73.4,323.2,93.6,9.7,29.9,11.1,                          M=1:          ,1,CZKA,15.84717447,KAMLOOPS+AUT,-120.45,50.7,345,5/5/20,,L,14, , ,BC-2019-2019-K20414,2010-2019,1004,209,14, ,2019-K20414,Fire,50.8294,-120.7484, ,, ,0.009,BC,BC,1,5,2019
1114619,71999,5/30/19,27.8,8.3,29,10.2,20.18641026,268,1011.5,25.5,0,3,0,92.7,30.7,204.9,44.7,10.4,21.7,6.3,                  IDW=WSD:M=1:          ,1,CWKF,12.21071755,LILLOOET,-121.933,50.683,240,5/5/20,,L,14, , ,BC-2019-2019-K70418,2010-2019,1001,208,14, ,2019-K70418,Fire,50.5578,-121.7371, ,, ,0.009,BC,BC,1,5,2019
1125073,71557,5/30/19,27.6,8.7,30,3.8,6.9,46,1011.46,29.3,0,4,0,92.4,31.8,180.3,44.1,7.3,16.5,3.9,                          M=1:          ,1,CVME,21.24955842,MERRITT,-120.783,50.117,591,5/5/20,,L,14, , ,BC-2019-2019-K60419,2010-2019,1006,209,14, ,2019-K60419,Fire,50.4226,-120.8354, ,, ,0.009,BC,BC,1,5,2019
1161650,71645,5/30/19,28.6,2.7,19,7.2,11.7,140,1008.4,29.7,0,1,0,96.1,124.4,242.6,124.1,14.4,43.7,21.8,                          M=1:          ,1,CVCW,22.51679226,CLEARWATER+AUTO,-120.083,51.65,438,5/5/20,,L,14, , ,BC-2019-2019-C40408,2010-2019,1004,209,14, ,2019-C40408,Fire,51.4702,-120.5187, ,, ,1.3,BC,BC,1,5,2019
1145297,71216,5/30/19,23.4,5.7,32,2,4,248,1012.6,22.2,0,4,0,91.9,38.6,162.9,48.5,6.3,15.5,3.5,                          M=1:          ,1,CWNP,29.24085987,NAKUSP+CS,-117.817,50.267,512,5/5/20,,L,14, , ,BC-2019-2019-K40423,2010-2019,988,205,14, ,2019-K40423,Fire,50.4111,-118.4385, ,, ,0.009,BC,BC,1,5,2019
1161650,71645,5/30/19,28.6,2.7,19,7.2,11.7,140,1008.4,29.7,0,1,0,96.1,124.4,242.6,124.1,14.4,43.7,21.8,                          M=1:          ,1,CVCW,18.04961904,CLEARWATER+AUTO,-120.083,51.65,438,5/5/20,,L,14, , ,BC-2019-2019-K20417,2010-2019,1004,209,14, ,2019-K20417,Fire,51.6909,-120.4977, ,, ,15.3,BC,BC,1,5,2019
