lat,lng,reportDate,startDate,endDate,peakDate,duration,maxSize,aveSize,increaseSpreadRate,decreaseSpreadRate,movementDirection,movementDirectionNum,temp,td,rh,ws,wg,wdir,pres,vis,precip,rndays,ffmc,dmc,dc,bui,isi,fwi,dsr
55.121883,-115.617833,Sun Jun 02 00:00:00 EDT 2019,Sat May 18 00:00:00 EDT 2019,Sun Jun 02 00:00:00 EDT 2019,Thu May 30 00:00:00 EDT 2019,15,159.07321307353675,49.23503379798742,7.245025646830541,-0.13278754006086432,NW,0,16.0,5.0,48.3,11.1,11.1,340,1008.4,14.5,1.0,0,84.0,77.0,340.3,98.4,3.2,13.8,2.8
58.006307,-116.454817,Sun Jun 02 00:00:00 EDT 2019,Mon May 27 00:00:00 EDT 2019,Mon Jun 03 00:00:00 EDT 2019,Wed May 29 00:00:00 EDT 2019,7,112.53507234926295,43.86134547395737,0.47453311566969336,7.381737528983525,SE,3,18.1,0.8,31.0,29.4,20.18641026,260,1004.07,18.1,6.4,0,75.8,63.1,344.9,86.6,3.5,13.8,2.9
56.629267,-113.863933,Sun Jun 02 00:00:00 EDT 2019,Sat May 18 00:00:00 EDT 2019,Sun Jun 02 00:00:00 EDT 2019,Thu May 30 00:00:00 EDT 2019,15,159.07321307353675,49.23503379798742,7.245025646830541,-0.13278754006086432,NW,0,18.4,0.2,29.0,13.2,23.8,254,1006.6,23.5,15.7,0,66.7,27.9,98.5,32.7,1.1,2.1,0.1
56.7348,-114.682783,Sun Jun 02 00:00:00 EDT 2019,Sat May 18 00:00:00 EDT 2019,Sun Jun 02 00:00:00 EDT 2019,Thu May 30 00:00:00 EDT 2019,15,159.07321307353675,49.23503379798742,7.245025646830541,-0.13278754006086432,NW,0,18.4,0.2,29.0,13.2,23.8,254,1006.6,23.5,15.7,0,66.7,27.9,98.5,32.7,1.1,2.1,0.1
56.5764,-113.5286,Sun Jun 02 00:00:00 EDT 2019,Sat May 18 00:00:00 EDT 2019,Sun Jun 02 00:00:00 EDT 2019,Thu May 30 00:00:00 EDT 2019,15,159.07321307353675,49.23503379798742,7.245025646830541,-0.13278754006086432,NW,0,18.4,0.2,29.0,13.2,23.8,254,1006.6,23.5,15.7,0,66.7,27.9,98.5,32.7,1.1,2.1,0.1
57.491333,-117.118283,Sun Jun 02 00:00:00 EDT 2019,Mon May 27 00:00:00 EDT 2019,Sun Jun 02 00:00:00 EDT 2019,Mon May 27 00:00:00 EDT 2019,6,140.19809492601564,38.5380645869943,NaN,-0.2918340339404788,SW,2,17.5,0.3,31.0,13.5,20.18641026,231,1006.07,30.5,1.4,0,85.5,97.9,154.8,97.4,4.4,17.5,4.3
56.253017,-115.364167,Sun Jun 02 00:00:00 EDT 2019,Sat May 18 00:00:00 EDT 2019,Sun Jun 02 00:00:00 EDT 2019,Thu May 30 00:00:00 EDT 2019,15,159.07321307353675,49.71389683839048,7.09246120651057,-0.13278754006086432,NW,0,18.4,0.2,29.0,13.2,23.8,254,1006.6,23.5,15.7,0,66.7,27.9,98.5,32.7,1.1,2.1,0.1
57.282167,-115.141833,Sun Jun 02 00:00:00 EDT 2019,Sat May 18 00:00:00 EDT 2019,Sun Jun 02 00:00:00 EDT 2019,Thu May 30 00:00:00 EDT 2019,15,159.07321307353675,49.23503379798742,7.245025646830541,-0.13278754006086432,NW,0,18.4,0.2,29.0,13.2,23.8,254,1006.6,23.5,15.7,0,66.7,27.9,98.5,32.7,1.1,2.1,0.1
54.726203,-115.353677,Sun Jun 02 00:00:00 EDT 2019,Sat May 18 00:00:00 EDT 2019,Sun Jun 02 00:00:00 EDT 2019,Thu May 30 00:00:00 EDT 2019,15,159.07321307353675,49.108486632718375,9.058259598223078,-0.13278754006086432,NE,1,18.5,1.5,33.8,9.7,20.18641026,296,1007.92,17.5,0.25,0,90.0,63.1,119.6,62.9,7.0,19.4,5.2
51.433056,-100.964444,Tue Jun 04 00:00:00 EDT 2019,Fri May 31 00:00:00 EDT 2019,Wed Jun 05 00:00:00 EDT 2019,Fri May 31 00:00:00 EDT 2019,5,4.049589436060756,1.6443138225437157,NaN,Infinity,SE,3,19.1,11.4,61.2,25.9,35.6,340,1008.6,16.7,2.1,0,78.6,82.7,351.2,104.1,3.6,15.7,3.5
